epoch,lr,train_loss,val_loss,train_top1,val_top1,test_top1,train_time_sec
1,0.0002,2.0256399129655627,1.972045622253418,26.997777938842773,29.920000076293945,31.34000015258789,11.442920684814453
2,0.0003,1.8839006082322862,1.8924355834960938,34.09333419799805,34.84000015258789,34.81999969482422,10.18078064918518
3,0.0004,1.7852083011627198,1.799648934173584,39.282222747802734,39.79999923706055,39.79999923706055,10.12747311592102
4,0.0005,1.7083665763431126,1.7377752063751222,43.39777755737305,43.779998779296875,42.55999755859375,10.15466570854187
5,0.0005,1.6393593583424886,1.6496739881515503,46.96000289916992,47.37999725341797,48.07999801635742,10.197113990783691
6,0.0004998646811918792,1.5857941895802816,1.5333300811767578,49.23777770996094,52.21999740600586,51.84000015258789,10.282485961914062
7,0.0004994588727366467,1.5162576514350043,1.4977804462432862,52.931114196777344,53.79999923706055,53.939998626708984,10.20218801498413
8,0.0004987830183798903,1.4840139787038167,1.452919645690918,54.76000213623047,55.79999923706055,55.41999816894531,10.20889949798584
9,0.0004978378571584264,1.4467346978505453,1.3668844144821166,56.22666931152344,59.71999740600586,59.19999694824219,10.217280149459839
10,0.0004966244225921738,1.4201701768663195,1.3818924592971802,57.43777847290039,59.0,59.78999710083008,10.625366449356079
11,0.0004951440415540153,1.3912014288584391,1.347775150680542,58.915557861328125,61.2599983215332,61.279998779296875,10.18137788772583
12,0.0004933983328188814,1.3685211263868544,1.3242500717163086,60.00666809082031,61.41999816894531,60.82999801635742,10.192895412445068
13,0.0004913892052936438,1.3527441748513116,1.2795228145599364,60.68222427368164,63.81999969482422,63.69999694824219,10.200641870498657
14,0.0004891188559297535,1.3270495693418716,1.2899889919281007,62.073333740234375,64.08000183105469,63.779998779296875,10.216544151306152
15,0.00048658976732090706,1.309807786687215,1.2788727197647094,62.96666717529297,63.89999771118164,64.0,10.248765707015991
16,0.00048380470498836657,1.2930522974014282,1.269076399040222,63.833335876464844,64.1199951171875,64.56999969482422,10.255537033081055
17,0.0004807667143569027,1.2728534694883558,1.2405486715316771,64.5088882446289,66.0199966430664,66.27999877929688,10.26090669631958
18,0.0004774791174246677,1.2574059502283732,1.2389752132415772,65.35556030273438,65.68000030517578,64.94999694824219,10.25225830078125
19,0.000473945509130639,1.2432788946151734,1.194968078804016,66.11333465576172,67.93999481201172,68.0999984741211,10.20138669013977
20,0.000470169753423606,1.2269487855699328,1.178323362159729,66.86666870117188,69.13999938964844,69.13999938964844,10.368187189102173
21,0.0004661559790369996,1.2121923078748915,1.1944202871322631,67.44667053222656,67.43999481201172,67.90999603271484,10.126251935958862
22,0.00046190857497418146,1.2018853194766574,1.177461625289917,67.98222351074219,68.58000183105469,68.76000213623047,10.333789825439453
23,0.000457432185709135,1.1873639216740925,1.1928056987762452,68.53111267089844,68.19999694824219,68.22000122070312,10.26879072189331
24,0.0004527317061077995,1.1777773776160345,1.1571014419555663,69.12000274658203,70.22000122070312,69.83000183105469,10.27884030342102
25,0.00044781227607560743,1.160111432117886,1.1285973329544068,69.83333587646484,71.69999694824219,70.5999984741211,10.133445978164673
26,0.00044267927493707264,1.1484453250037299,1.1368218812942505,70.45333862304688,70.83999633789062,70.22000122070312,10.193546533584595
27,0.0004373383155535781,1.1342584867265488,1.1163775588989258,71.12889099121094,72.26000213623047,70.63999938964844,10.338000297546387
28,0.00043179523818579456,1.1260225493960911,1.12227883644104,71.41777801513672,71.77999877929688,70.90999603271484,10.205617666244507
29,0.0004260561041074409,1.1124806702084011,1.087773086166382,72.21556091308594,73.72000122070312,73.36000061035156,10.226111650466919
30,0.000420127188977371,1.1043010748545328,1.1146394048690795,72.51555633544922,71.95999908447266,71.75,10.199183225631714
31,0.00041401497597723174,1.0934070710923938,1.0758656894683838,73.09111022949219,73.97999572753906,73.11000061035156,10.260974884033203
32,0.00040772614872220043,1.0833462019602458,1.0953840787887574,73.52222442626953,72.27999877929688,71.93000030517578,10.233932256698608
33,0.0004012675839525487,1.0764228998396133,1.0594588130950928,73.71111297607422,73.86000061035156,73.8699951171875,10.192822217941284
34,0.00039464634401402854,1.0579121825112237,1.0610505645751953,74.43111419677734,74.18000030517578,74.1199951171875,10.322941541671753
35,0.00038786966913530077,1.0486829060024685,1.042270708656311,75.22888946533203,76.0,75.36000061035156,10.335917949676514
36,0.00038094496951085076,1.039546579615275,1.0724450580596925,75.5088882446289,75.0,74.0999984741211,10.187991380691528
37,0.0003738798171980508,1.0332730605019464,1.0704249774932861,75.83555603027344,74.54000091552734,73.5999984741211,10.16329574584961
38,0.00036668193783722525,1.0213197941038343,1.0294264644622804,76.50444793701172,76.22000122070312,75.54999542236328,10.303504467010498
39,0.000359359202203777,1.012824520916409,1.0414297607421874,76.84667205810547,75.45999908447266,74.76000213623047,10.26770830154419
40,0.00035191961760161,1.004796404944526,1.0424626794815064,77.13777923583984,76.0,75.1199951171875,10.231497764587402
41,0.0003443713191072596,0.9927849036534627,1.0107680093765259,77.73777770996094,77.43999481201172,76.56999969482422,10.218479871749878
42,0.0003367225606743067,0.9852335433959961,1.0485109552383423,78.22222137451172,75.5999984741211,75.13999938964844,10.276914596557617
43,0.0003289817061077995,0.9784633223427667,1.0066527134895324,78.54444885253906,77.6199951171875,77.31999969482422,10.410300254821777
