epoch,lr,train_loss,val_loss,train_top1,val_top1,test_top1,train_time_sec
1,0.00032,4.949712220085992,4.582056219482422,4.66313638100844,8.679999351501465,9.399999618530273,151.65775871276855
2,0.00048,4.61624436984592,4.300895986175537,9.256985448734287,13.109999656677246,13.229999542236328,151.63191676139832
3,0.00064,4.431937570529514,4.08646312866211,12.178490299875039,17.18000030517578,16.729999542236328,151.73283123970032
4,0.0008,4.303808291710747,4.037447750854493,14.397412317534327,17.369998931884766,17.559999465942383,151.01681518554688
5,0.0008,4.280106224738227,4.011697832489014,14.842506742812631,18.350000381469727,18.75,151.60672426223755
6,0.0007997815216334341,4.215443648613824,3.846726068115234,16.033668925967437,21.119998931884766,21.84000015258789,151.64068388938904
7,0.0007991263254366224,4.0887497409396705,3.7853965320587157,18.38947976205375,22.8799991607666,22.799999237060547,151.87587785720825
8,0.0007980351278569866,3.969151773410373,3.6802333644866945,20.501080871477786,25.219999313354492,24.90999984741211,151.86044096946716
9,0.0007965091221030594,3.971343891567654,3.6255573722839354,21.155212621943644,26.049999237060547,26.510000228881836,151.98663234710693
10,0.0007945499768397279,3.8833919406467015,3.567886301422119,22.739394856166342,27.599998474121094,27.649999618530273,151.7766456604004
11,0.0007921598343635739,3.8013727555592856,3.4781510330200196,24.385139019533636,30.0,29.619998931884766,152.16961550712585
12,0.0007893413082603032,3.75993495042589,3.487881421661377,25.752580928186788,29.779998779296875,29.049999237060547,153.03874397277832
13,0.0007860974805468286,3.6679843346913654,3.3963328880310057,27.647905233626897,31.53999900817871,30.989999771118164,152.25031852722168
14,0.0007824318983011294,3.6538339469909666,3.3271188079833984,28.417712354455144,33.130001068115234,33.68000030517578,152.12115502357483
15,0.0007783485697835736,3.5001015147315133,3.3061165203094482,31.463497337331606,33.95000076293945,33.959999084472656,151.8692388534546
16,0.0007738519600539446,3.423473909801907,3.229801893234253,33.0817764151817,35.43000030517578,35.880001068115234,152.11588287353516
17,0.000768946986088963,3.3624367134094237,3.1634930953979494,35.13224858245484,37.38999938964844,38.02000045776367,152.2287290096283
18,0.0007636390114056454,3.2407972159491645,3.2238061588287352,37.604594606341806,35.97999954223633,36.65999984741211,152.24797463417053
19,0.0007579338401963771,3.183761037572225,3.1408773319244383,39.23998048797546,38.5099983215332,39.2599983215332,152.6547064781189
20,0.000751837710982113,3.138481754769219,3.1485792026519777,40.57606978793763,38.54999923706055,39.2599983215332,152.3056321144104
21,0.0007453572897906467,2.978906028323703,3.1339983390808106,44.43795663073608,39.46999740600586,39.13999938964844,152.424090385437
22,0.0007384996628674058,2.9169364146762424,3.0924957748413084,46.01041376453976,40.2599983215332,40.38999938964844,152.43272519111633
23,0.0007312723289267488,2.8103649046156143,3.172640662765503,49.24340638463346,39.65999984741211,39.279998779296875,152.45666193962097
24,0.000723683190952229,2.758141426595052,3.1090423431396483,51.03946476032056,41.040000915527344,41.099998474121094,152.31719732284546
25,0.000715740547554799,2.693858805656433,3.166388293457031,53.09465490752545,40.05999755859375,39.790000915527344,152.29093861579895
