epoch,lr,train_loss,val_loss,train_top1,val_top1,test_top1,train_time_sec
1,0.00016,5.006230888281928,4.6956733749389645,3.8784201207924025,8.199999809265137,7.759999752044678,154.3361530303955
2,0.00024,4.67767461827596,4.382029809570312,8.28571249633075,12.359999656677246,12.069999694824219,154.24046397209167
3,0.00032,4.472161652035183,4.205376056671143,11.523930137943312,14.929999351501465,14.809999465942383,154.90756249427795
4,0.0004,4.33338607228597,4.057259712219238,14.044998863465295,16.959999084472656,17.059999465942383,154.22720313072205
5,0.00048,4.244804165607029,3.937961083984375,15.568162146890764,19.479999542236328,19.75,155.57304406166077
6,0.00056,4.209025053151448,3.865648907470703,16.379865658645183,21.25,21.350000381469727,154.28161191940308
7,0.00064,4.1142346695794,3.756510883331299,18.106253768756016,23.56999969482422,23.6299991607666,154.21369767189026
8,0.00072,4.054406985473633,3.7176634506225588,19.50228001371871,24.059999465942383,24.299999237060547,154.7121479511261
9,0.0008,4.005613540649414,3.6823438339233396,20.379606325437514,25.219999313354492,24.920000076293945,154.10434794425964
